path,action,to_url,priority,rationale
/tools/enterprise-ai-calculator,301,https://siteoptz.ai/tools/enterprise-ai-calculator,low,Calculator URL → current calculator
/case-studies/fortune-500-chatgpt,301,https://siteoptz.ai/case-studies,low,Missing case study → case studies hub
/resources/chatgpt-enterprise-guide,301,https://siteoptz.ai/resources,low,Missing resource → resources hub
/resources/ai-implementation-guide,301,https://siteoptz.ai/resources,low,Missing resource → resources hub
/reports/claude-gpt4-benchmark,301,https://siteoptz.ai/analysis/claude3-vs-gpt4,low,Report moved → analysis page
/resources/ai-model-selection,301,https://siteoptz.ai/resources,low,Missing resource → resources hub
/tools/ai-cost-calculator,301,https://siteoptz.ai/tools/ai-cost-calculator,low,Calculator URL → current calculator
/resources/marketing-ai-tools-comparison,301,https://siteoptz.ai/resources,low,Missing resource → resources hub
/tools/marketing-roi-calculator,301,https://siteoptz.ai/tools/marketing-roi-calculator,low,Calculator URL → current calculator
/case-studies/marketing-ai-success,301,https://siteoptz.ai/case-studies,low,Missing case study → case studies hub
/resources/marketing-ai-strategy,301,https://siteoptz.ai/resources,low,Missing resource → resources hub
/resources/no-code-ai-comparison,301,https://siteoptz.ai/resources,low,Missing resource → resources hub
/case-studies/no-code-ai-wins,301,https://siteoptz.ai/case-studies,low,Missing case study → case studies hub
/resources/business-ai-training,301,https://siteoptz.ai/resources,low,Missing resource → resources hub
/tools/no-code-ai-roi,301,https://siteoptz.ai/tools/no-code-ai-roi,low,Calculator URL → current calculator
/compare/athenic-ai/vs/10web,301,https://siteoptz.ai/compare,low,Comparison page → main compare tool
/compare/athenic-ai/vs/adalysis,301,https://siteoptz.ai/compare,low,Comparison page → main compare tool
/compare/athenic-ai/vs/adcreative-ai,301,https://siteoptz.ai/compare,low,Comparison page → main compare tool
/compare/athenic-ai/vs/adbeat,301,https://siteoptz.ai/compare,low,Comparison page → main compare tool
/compare/athenic-ai/vs/adespresso,301,https://siteoptz.ai/compare,low,Comparison page → main compare tool
/compare/athenic-ai/vs/acquisio,301,https://siteoptz.ai/compare,low,Comparison page → main compare tool
/compare/colossyan-creator/vs/acquisio,301,https://siteoptz.ai/compare,low,Comparison page → main compare tool
/compare/colossyan-creator/vs/adcreative-ai,301,https://siteoptz.ai/compare,low,Comparison page → main compare tool
/compare/colossyan-creator/vs/adbeat,301,https://siteoptz.ai/compare,low,Comparison page → main compare tool
/compare/colossyan-creator/vs/10web,301,https://siteoptz.ai/compare,low,Comparison page → main compare tool
/compare/colossyan-creator/vs/adalysis,301,https://siteoptz.ai/compare,low,Comparison page → main compare tool
/compare/colossyan-creator/vs/adespresso,301,https://siteoptz.ai/compare,low,Comparison page → main compare tool
/compare/contentstudio/vs/coschedule,301,https://siteoptz.ai/compare,low,Comparison page → main compare tool
/compare/copilot-audio-expression/vs/adcreative-ai,301,https://siteoptz.ai/compare,low,Comparison page → main compare tool
/compare/copilot-audio-expression/vs/adbeat,301,https://siteoptz.ai/compare,low,Comparison page → main compare tool
/compare/copilot-audio-expression/vs/acquisio,301,https://siteoptz.ai/compare,low,Comparison page → main compare tool
/compare/copilot-audio-expression/vs/adalysis,301,https://siteoptz.ai/compare,low,Comparison page → main compare tool
/compare/copilot-audio-expression/vs/10web,301,https://siteoptz.ai/compare,low,Comparison page → main compare tool
/compare/copilot-audio-expression/vs/adespresso,301,https://siteoptz.ai/compare,low,Comparison page → main compare tool
/compare/elai-io/vs/adbeat,301,https://siteoptz.ai/compare,low,Comparison page → main compare tool
/compare/elai-io/vs/10web,301,https://siteoptz.ai/compare,low,Comparison page → main compare tool
/compare/elai-io/vs/acquisio,301,https://siteoptz.ai/compare,low,Comparison page → main compare tool
/compare/elai-io/vs/adcreative-ai,301,https://siteoptz.ai/compare,low,Comparison page → main compare tool
/compare/elai-io/vs/adespresso,301,https://siteoptz.ai/compare,low,Comparison page → main compare tool
/compare/elai-io/vs/adalysis,301,https://siteoptz.ai/compare,low,Comparison page → main compare tool
/compare/facecheck-id/vs/adbeat,301,https://siteoptz.ai/compare,low,Comparison page → main compare tool
/compare/facecheck-id/vs/acquisio,301,https://siteoptz.ai/compare,low,Comparison page → main compare tool
/compare/facecheck-id/vs/10web,301,https://siteoptz.ai/compare,low,Comparison page → main compare tool
/compare/facecheck-id/vs/adcreative-ai,301,https://siteoptz.ai/compare,low,Comparison page → main compare tool
/compare/facecheck-id/vs/adespresso,301,https://siteoptz.ai/compare,low,Comparison page → main compare tool
/compare/facecheck-id/vs/adalysis,301,https://siteoptz.ai/compare,low,Comparison page → main compare tool
/compare/google-gemini/vs/adalysis,301,https://siteoptz.ai/compare,low,Comparison page → main compare tool
/compare/google-gemini/vs/10web,301,https://siteoptz.ai/compare,low,Comparison page → main compare tool
/compare/google-gemini/vs/adcreative-ai,301,https://siteoptz.ai/compare,low,Comparison page → main compare tool
/compare/google-gemini/vs/adbeat,301,https://siteoptz.ai/compare,low,Comparison page → main compare tool
/compare/google-gemini/vs/acquisio,301,https://siteoptz.ai/compare,low,Comparison page → main compare tool
/compare/google-gemini/vs/adespresso,301,https://siteoptz.ai/compare,low,Comparison page → main compare tool
/compare/mangools/vs/adbeat,301,https://siteoptz.ai/compare,low,Comparison page → main compare tool
/compare/mangools/vs/10web,301,https://siteoptz.ai/compare,low,Comparison page → main compare tool
/compare/mangools/vs/acquisio,301,https://siteoptz.ai/compare,low,Comparison page → main compare tool
/compare/mangools/vs/adcreative-ai,301,https://siteoptz.ai/compare,low,Comparison page → main compare tool
/compare/mangools/vs/adespresso,301,https://siteoptz.ai/compare,low,Comparison page → main compare tool
/compare/mangools/vs/adalysis,301,https://siteoptz.ai/compare,low,Comparison page → main compare tool
/compare/playground-ai/vs/adbeat,301,https://siteoptz.ai/compare,low,Comparison page → main compare tool
/compare/playground-ai/vs/adalysis,301,https://siteoptz.ai/compare,low,Comparison page → main compare tool
/compare/playground-ai/vs/adespresso,301,https://siteoptz.ai/compare,low,Comparison page → main compare tool
/compare/playground-ai/vs/acquisio,301,https://siteoptz.ai/compare,low,Comparison page → main compare tool
/compare/playground-ai/vs/adcreative-ai,301,https://siteoptz.ai/compare,low,Comparison page → main compare tool
/compare/playground-ai/vs/10web,301,https://siteoptz.ai/compare,low,Comparison page → main compare tool
/compare/quiki-io/vs/acquisio,301,https://siteoptz.ai/compare,low,Comparison page → main compare tool
/compare/quiki-io/vs/adbeat,301,https://siteoptz.ai/compare,low,Comparison page → main compare tool
/compare/quiki-io/vs/adespresso,301,https://siteoptz.ai/compare,low,Comparison page → main compare tool
/compare/quiki-io/vs/adalysis,301,https://siteoptz.ai/compare,low,Comparison page → main compare tool
/compare/quiki-io/vs/10web,301,https://siteoptz.ai/compare,low,Comparison page → main compare tool
/compare/quiki-io/vs/adcreative-ai,301,https://siteoptz.ai/compare,low,Comparison page → main compare tool
/compare/se-ranking/vs/adespresso,301,https://siteoptz.ai/compare,low,Comparison page → main compare tool
/compare/se-ranking/vs/adalysis,301,https://siteoptz.ai/compare,low,Comparison page → main compare tool
/compare/se-ranking/vs/10web,301,https://siteoptz.ai/compare,low,Comparison page → main compare tool
/compare/se-ranking/vs/acquisio,301,https://siteoptz.ai/compare,low,Comparison page → main compare tool
/compare/se-ranking/vs/adcreative-ai,301,https://siteoptz.ai/compare,low,Comparison page → main compare tool
/compare/se-ranking/vs/adbeat,301,https://siteoptz.ai/compare,low,Comparison page → main compare tool
/compare/seaart-ai/vs/10web,301,https://siteoptz.ai/compare,low,Comparison page → main compare tool
/compare/seaart-ai/vs/adalysis,301,https://siteoptz.ai/compare,low,Comparison page → main compare tool
/compare/seaart-ai/vs/adespresso,301,https://siteoptz.ai/compare,low,Comparison page → main compare tool
/compare/seaart-ai/vs/adbeat,301,https://siteoptz.ai/compare,low,Comparison page → main compare tool
/compare/seaart-ai/vs/acquisio,301,https://siteoptz.ai/compare,low,Comparison page → main compare tool
/compare/seaart-ai/vs/adcreative-ai,301,https://siteoptz.ai/compare,low,Comparison page → main compare tool
/compare/sendible/vs/hootsuite,301,https://siteoptz.ai/compare,low,Comparison page → main compare tool
/compare/sendible/vs/sprout-social,301,https://siteoptz.ai/compare,low,Comparison page → main compare tool
/compare/sendible/vs/loomly,301,https://siteoptz.ai/compare,low,Comparison page → main compare tool
/compare/serpstat/vs/adcreative-ai,301,https://siteoptz.ai/compare,low,Comparison page → main compare tool
/compare/serpstat/vs/adespresso,301,https://siteoptz.ai/compare,low,Comparison page → main compare tool
/compare/serpstat/vs/adalysis,301,https://siteoptz.ai/compare,low,Comparison page → main compare tool
/compare/serpstat/vs/adbeat,301,https://siteoptz.ai/compare,low,Comparison page → main compare tool
/compare/serpstat/vs/10web,301,https://siteoptz.ai/compare,low,Comparison page → main compare tool
/compare/serpstat/vs/acquisio,301,https://siteoptz.ai/compare,low,Comparison page → main compare tool
/compare/social-champ/vs/loomly,301,https://siteoptz.ai/compare,low,Comparison page → main compare tool
/compare/social-champ/vs/buffer,301,https://siteoptz.ai/compare,low,Comparison page → main compare tool
/compare/social-champ/vs/hootsuite,301,https://siteoptz.ai/compare,low,Comparison page → main compare tool
/compare/socialpilot/vs/loomly,301,https://siteoptz.ai/compare,low,Comparison page → main compare tool
/compare/socialpilot/vs/hootsuite,301,https://siteoptz.ai/compare,low,Comparison page → main compare tool
/compare/socialpilot/vs/buffer,301,https://siteoptz.ai/compare,low,Comparison page → main compare tool
/compare/tugan-ai/vs/adespresso,301,https://siteoptz.ai/compare,low,Comparison page → main compare tool
/compare/tugan-ai/vs/adalysis,301,https://siteoptz.ai/compare,low,Comparison page → main compare tool
/compare/tugan-ai/vs/10web,301,https://siteoptz.ai/compare,low,Comparison page → main compare tool
/compare/tugan-ai/vs/adbeat,301,https://siteoptz.ai/compare,low,Comparison page → main compare tool
/compare/tugan-ai/vs/adcreative-ai,301,https://siteoptz.ai/compare,low,Comparison page → main compare tool
/compare/tugan-ai/vs/acquisio,301,https://siteoptz.ai/compare,low,Comparison page → main compare tool
