Industry,Slug,Keyword,Search Volume,CPC,Competition,Difficulty,Keyword Type,Opportunity Score
"Marketing, Advertising & Media",marketing-advertising-media,"AI content creation",11900,5.67,medium,71,secondary,168
"Marketing, Advertising & Media",marketing-advertising-media,"AI copywriting",8700,7.23,medium,72,secondary,121
"Marketing, Advertising & Media",marketing-advertising-media,"programmatic advertising",6200,12.34,high,79,secondary,78
"Marketing, Advertising & Media",marketing-advertising-media,"AI advertising",5800,9.78,high,75,secondary,77
"Marketing, Advertising & Media",marketing-advertising-media,"marketing artificial intelligence",4300,7.89,medium,73,secondary,59
"Marketing, Advertising & Media",marketing-advertising-media,"AI campaign optimization",3600,11.45,high,77,secondary,47
"Marketing, Advertising & Media",marketing-advertising-media,"social media AI",3200,6.45,medium,70,secondary,46
"Marketing, Advertising & Media",marketing-advertising-media,"AI audience targeting",2900,10.67,high,76,secondary,38
"Energy & Utilities",energy-utilities,"smart grid",13400,8.23,medium,72,primary,186
"Energy & Utilities",energy-utilities,"AI in energy",7800,9.45,medium,74,secondary,105
"Energy & Utilities",energy-utilities,"energy management AI",5200,11.23,high,76,secondary,68
"Energy & Utilities",energy-utilities,"renewable energy AI",3900,10.67,medium,75,secondary,52
"Energy & Utilities",energy-utilities,"smart energy",3600,7.89,medium,71,secondary,51
"Energy & Utilities",energy-utilities,"AI energy optimization",2800,12.45,high,77,secondary,36
"Energy & Utilities",energy-utilities,"utilities artificial intelligence",2300,9.78,medium,73,secondary,32
"Energy & Utilities",energy-utilities,"AI demand forecasting energy",1900,11.89,high,76,secondary,25
"Energy & Utilities",energy-utilities,"smart meter AI",1600,8.67,medium,72,secondary,22
"Energy & Utilities",energy-utilities,"energy analytics AI",1300,10.34,medium,74,secondary,18
"Education & EdTech",education-edtech,"AI in education",19600,4.67,medium,66,primary,297
"Education & EdTech",education-edtech,"AI tutoring",9800,6.23,medium,68,secondary,144
"Education & EdTech",education-edtech,"personalized learning AI",7200,7.89,medium,70,secondary,103
"Education & EdTech",education-edtech,"educational AI",5400,5.45,medium,67,secondary,81
"Education & EdTech",education-edtech,"AI learning platform",4100,8.34,medium,71,secondary,58
"Education & EdTech",education-edtech,"adaptive learning AI",3300,9.67,medium,72,secondary,46
"Education & EdTech",education-edtech,"AI assessment tools",2700,7.23,medium,69,secondary,39
"Education & EdTech",education-edtech,"educational artificial intelligence",2400,6.78,medium,68,secondary,35
"Education & EdTech",education-edtech,"AI grading",2100,5.89,low,64,secondary,33
"Education & EdTech",education-edtech,"intelligent tutoring system",1800,8.45,medium,70,secondary,26
"Legal & Compliance",legal-compliance,"AI in law",11700,9.23,medium,71,primary,165
"Legal & Compliance",legal-compliance,"legal AI",8900,10.45,medium,73,secondary,122
"Legal & Compliance",legal-compliance,"AI contract review",5600,12.67,high,76,secondary,74
"Legal & Compliance",legal-compliance,"legal technology AI",4200,11.23,high,74,secondary,57
"Legal & Compliance",legal-compliance,"AI legal research",3500,9.78,medium,72,secondary,49
"Legal & Compliance",legal-compliance,"compliance AI",2800,13.45,high,77,secondary,36
"Legal & Compliance",legal-compliance,"legal artificial intelligence",2300,10.89,medium,73,secondary,32
"Legal & Compliance",legal-compliance,"AI document review",2100,11.67,high,75,secondary,28
"Legal & Compliance",legal-compliance,"legal automation AI",1900,12.34,high,76,secondary,25
"Legal & Compliance",legal-compliance,"AI compliance monitoring",1600,14.23,high,78,secondary,21
"Human Resources & Recruiting",human-resources-recruiting,"AI recruiting",14800,7.89,medium,70,primary,211
"Human Resources & Recruiting",human-resources-recruiting,"HR AI",9300,8.45,medium,72,secondary,129
"Human Resources & Recruiting",human-resources-recruiting,"AI hiring",6700,9.23,medium,73,secondary,92
"Human Resources & Recruiting",human-resources-recruiting,"recruitment AI",5100,10.67,medium,74,secondary,69
"Human Resources & Recruiting",human-resources-recruiting,"AI talent acquisition",3800,11.45,high,75,secondary,51
"Human Resources & Recruiting",human-resources-recruiting,"HR artificial intelligence",3200,9.78,medium,72,secondary,44
"Human Resources & Recruiting",human-resources-recruiting,"AI resume screening",2900,8.67,medium,71,secondary,41
"Human Resources & Recruiting",human-resources-recruiting,"people analytics AI",2400,12.23,high,76,secondary,32
"Human Resources & Recruiting",human-resources-recruiting,"AI employee engagement",2100,10.34,medium,73,secondary,29
"Human Resources & Recruiting",human-resources-recruiting,"workforce analytics AI",1700,11.89,high,75,secondary,23
"Aerospace & Defense",aerospace-defense,"AI in aerospace",8600,11.23,medium,72,primary,119
"Aerospace & Defense",aerospace-defense,"defense AI",6400,13.45,high,76,secondary,84
"Aerospace & Defense",aerospace-defense,"military AI",4900,12.67,high,75,secondary,65
"Aerospace & Defense",aerospace-defense,"aerospace artificial intelligence",3200,10.89,medium,73,secondary,44
"Aerospace & Defense",aerospace-defense,"aviation AI",2800,9.78,medium,71,secondary,39
"Aerospace & Defense",aerospace-defense,"AI defense systems",2300,14.56,high,78,secondary,29
"Aerospace & Defense",aerospace-defense,"autonomous systems AI",2100,11.45,medium,74,secondary,28
"Aerospace & Defense",aerospace-defense,"AI mission planning",1800,13.23,high,77,secondary,23
"Aerospace & Defense",aerospace-defense,"aerospace machine learning",1500,10.67,medium,73,secondary,21
"Aerospace & Defense",aerospace-defense,"AI surveillance systems",1200,15.78,high,79,secondary,15
